General Computer Science,Multiple Choice,Easy,Which of the following is not a type of computer memory? ,RAM,ROM ,CPU ,HDD ,CPU
General Computer Science,Multiple Choice,Easy,Which of the following is not a type of computer network? ,LAN ,WAN ,PAN ,SAN ,SAN
General Computer Science,Multiple Choice,Medium,Which of the following is not a type of software,System software ,Application software ,Hardware software ,Firmware ,Hardware software
General Computer Science,Multiple Choice,Medium,Which of the following is not a type of computer language? ,Assembly ,High-level ,Low-level ,Database ,Database
General Computer Science,Multiple Choice,Hard,Which of the following is not a type of computer architecture? ,Von Neumann,Harvard ,Neural ,Quantum ,Neural
General Computer Science,Multiple Choice,Hard,Which of the following is not a type of computer security? ,Network security ,Application security ,Hardware security ,Time security ,Time security
Python3 Syntax,Multiple Choice,Easy,What is the correct syntax for creating a list in Python? ,"list = {1, 2, 3} ","list = [1, 2, 3] ","list {1, 2, 3} ","list [1, 2, 3] ","list = [1, 2, 3] "
Python3 Syntax,Multiple Choice,Easy,What is the correct way to create a tuple in Python? ,"tuple = {1, 2, 3} ","tuple = [1, 2, 3]","tuple {1, 2, 3} ","tuple (1, 2, 3) ","tuple (1, 2, 3) "
Python3 Syntax,Multiple Choice,Medium,What is the correct way to create a set in Python? ,"set = (1, 2, 3) ","set = [1, 2, 3] ","set {1, 2, 3} ","set {(1, 2, 3)} ","set {1, 2, 3} "
Python3 Syntax,Multiple Choice,Hard,What is the correct syntax for creating a lambda function in Python? ,lambda x: x+1 ,function x: x+1 ,def x: return x+1 ,x => x+1 ,lambda x: x+1
Python3 Syntax,Multiple Choice,Hard,What is the correct way to create a class in Python? ,class MyClass: ,class MyClass(): ,def MyClass: ,def MyClass(): ,class MyClass():
Object-Oriented Programming,Multiple Choice,Easy,What is the correct syntax for creating a constructor in a class? ,constructor(){},__construct(){} ,__init__{}() ,__init__(){} ,__init__(){}
Object-Oriented Programming,Multiple Choice,Easy,Which of the following is not an advantage of object-oriented programming? ,Code ,Data hiding ,Increased code size ,Modularity ,Increased code size
Object-Oriented Programming,Multiple Choice,Medium,Which of the following is not a principle of object-oriented programming? ,Encapsulation,Abstraction ,Inheritance ,Performance,Performance
Object-Oriented Programming,Multiple Choice,Medium,Which of the following is not a type of polymorphism in object-oriented programming? ,Ad-hoc polymorphism ,Parametric polymorphism ,Subtype polymorphism ,Performance polymorphism ,Performance polymorphism
Object-Oriented Programming,Multiple Choice,Hard,Which of the following is not a way to achieve encapsulation in object-oriented programming? ,Using private variables ,Using protected variables ,Using public variables ,Using global variables ,Using global variables
Object-Oriented Programming,Multiple Choice,Hard,Which of the following is not a way to achieve abstraction in object-oriented programming? ,Using interfaces ,Using abstract classes ,Using inheritance ,Using global variables,Using global variables
"Algorithms and Big ""O""",Multiple Choice,Easy,Which of the following is not a common time complexity? ,O(1) ,O(n) ,O(n^2,O(n^3) ,O(n^3)
"Algorithms and Big ""O""",Multiple Choice,Easy,Which of the following is not a common space complexity? ,O(1) ,O(n) ,O(n^2,O(n^3) ,O(n^3)
"Algorithms and Big ""O""",Multiple Choice,Medium,Which of the following is not a common type of sorting algorithm? ,bubble sort ,quick sort ,insertion sort ,matrix sort ,matrix sort
"Algorithms and Big ""O""",Multiple Choice,Medium,Which of the following is not a common type of data structure? a,array ,linked list ,stack ,matrix ,matrix
"Algorithms and Big ""O""",Multiple Choice,Hard,Which of the following is not a way to improve the time complexity of an algorithm? ,memoization ,dynamic programming ,increasing hardware power ,decreasing the input size ,increasing hardware power
"Algorithms and Big ""O""",Multiple Choice,Hard,Which of the following is not a property of Big O notation?,It describes the worst-case scenario ,It describes the average-case scenario ,It describes the best-case scenario ,It describes the time complexity in terms of the input size ,describes the average-case scenario
Software Design Patterns,Multiple Choice,Easy,Which of the following is not a type of design pattern? ,creational ,behavioral,structural ,numerical ,numerical
Software Design Patterns,Multiple Choice,Easy,Which of the following is an example of a creational design pattern? ,singleton ,observer ,adapter ,bridge ,singleton
Software Design Patterns,Multiple Choice,Easy,What is the component of the Model-View-Controller design pattern that handles the data and business logic? ,model ,view ,controller ,database ,model
Software Design Patterns,Multiple Choice,Medium,Which of the following is not an example of a structural design pattern? ,decorator ,facade ,iterator ,transition ,transition
Software Design Patterns,Multiple Choice,Medium,Which of the following is an example of a behavioral design pattern? ,proxy ,adapter ,composite ,chain of responsibility ,chain of responsibility
Software Design Patterns,Multiple Choice,Medium,"In the Model-View-Controller design pattern, which component is responsible for updating the view when the model changes? ",model ,view ,controller ,database ,controller
Software Design Patterns,Multiple Choice,Hard,Which of the following is not a principle of design patterns,encapsulation ,abstraction,inheritance ,performance ,performance
Software Design Patterns,Multiple Choice,Hard,Which of the following is not a Gang of Four design pattern? ,command ,interpreter,mediator ,validator ,validator
Software Design Patterns,Multiple Choice,Hard,"In the Model-View-Controller design pattern, which component is responsible for updating the model when the view changes? ",model ,view ,controller ,database ,controller
"History of Tacoma, UW, and UWT",Multiple Choice,Easy,The Washington State Fair is located in which Pierce County city? ,tacoma ,orting ,puyallup ,sumner ,puyallup
"History of Tacoma, UW, and UWT",Multiple Choice,Medium,Which year did the University of Washington Tacoma open its doors to students? ,1990,2020,1910,1850,1990
"History of Tacoma, UW, and UWT",Multiple Choice,Hard,What was the original industry of the City of Tacoma? ,fishing ,apples ,logging ,microchips ,logging
"History of Tacoma, UW, and UWT",Multiple Choice,Hard,Which year was the City of Tacoma officially incorporated? ,1858,1863,1875,1889,1875
"History of Tacoma, UW, and UWT",Multiple Choice,Hard,What is the nickname of the City of Tacoma? ,the city of trees,the city of destiny,the city of mountain,the city of the brave,the city of destiny
General Computer Science,Short Answer,Easy,A _____ is specific set of instructions that a computer can perform.,Null,Null,Null,Null,computer program
General Computer Science,Short Answer,Easy,A _____ is a set of rules and conventions for organizing and formatting data.,Null,Null,Null,Null,code
General Computer Science,Short Answer,Medium,"An _____ is a list set of instructions used to solve problems or perform tasks, based on the understanding of available alternatives.",Null,Null,Null,Null,algorithm
General Computer Science,Short Answer,Medium,A _____ is a sequence of instructions that are executed in a specific order. ,Null,Null,Null,Null,program
General Computer Science,Short Answer,Hard,A _____ is a program or device that can gain unauthorized access to a computer system. ,Null,Null,Null,Null,malware
General Computer Science,Short Answer,Hard,_____ is a process of ensuring that data is kept private and secure.,Null,Null,Null,Null,encryption
Python3 Syntax,Short Answer,Easy,The __init__ method is used to initialize a _______. ,Null,Null,Null,Null,class
Python3 Syntax,Short Answer,Easy,The _____ function is used to convert a variable to a string. ,Null,Null,Null,Null,str
Python3 Syntax,Short Answer,Medium,The _____ function is used to catch exceptions in Python. ,Null,Null,Null,Null,try
Python3 Syntax,Short Answer,Medium,The _____ statement is used to iterate over a sequence in Python,Null,Null,Null,Null,for
Python3 Syntax,Short Answer,Hard,The _____ function is used to raise an exception in Python. ,Null,Null,Null,Null,raise
Python3 Syntax,Short Answer,Hard,The _____ statement is used to create a new scope in Python. ,Null,Null,Null,Null,with
Object-Oriented Programming,Short Answer,Easy,An _____ is a variable that belongs to an object or a class. ,Null,Null,Null,Null,attribute
Object-Oriented Programming,Short Answer,Easy,A _____ is a function that belongs to an object or a class. ,Null,Null,Null,Null,method
Object-Oriented Programming,Short Answer,Medium,A _____ is a class that inherits the attributes and methods of another class. ,Null,Null,Null,Null,subclass
Object-Oriented Programming,Short Answer,Medium,A _____ is a class that is inherited by a subclass. ,Null,Null,Null,Null,superclass
Object-Oriented Programming,Short Answer,Hard,An _____ is a class that cannot be instantiated. ,Null,Null,Null,Null,abstract class
Object-Oriented Programming,Short Answer,Hard,An _____ is a class that defines a contract for its subclasses. ,Null,Null,Null,Null,interface
"Algorithms and Big ""O""",Short Answer,Easy,A _____ algorithm has a time complexity of O(log n). ,Null,Null,Null,Null,logarithmic
"Algorithms and Big ""O""",Short Answer,Easy,A _____ algorithm has a time complexity of O(n^2). ,Null,Null,Null,Null,quadratic
"Algorithms and Big ""O""",Short Answer,Medium,A _____ algorithm has a time complexity of O(n log n). ,Null,Null,Null,Null,linearithmic
"Algorithms and Big ""O""",Short Answer,Medium,A _____ data structure is a linear collection of elements in which a new element is added at one end and an existing element is removed from the other end. ,Null,Null,Null,Null,queue
"Algorithms and Big ""O""",Short Answer,Hard,_____ is a technique used to improve the time complexity of a recursive algorithm by storing the results of expensive function calls and returning the cached result when the same inputs occur again. ,Null,Null,Null,Null,memoization
"Algorithms and Big ""O""",Short Answer,Hard,_____ is a technique used to improve the time complexity of a problem by breaking it down into smaller subproblems and storing the solutions to these subproblems to avoid redundant calculations,Null,Null,Null,Null,dynamic programming
Software Design Patterns,Short Answer,Easy,The _____ pattern is a creational design pattern that allows only one instance of a class to be created. ,Null,Null,Null,Null,singleton
Software Design Patterns,Short Answer,Easy,The _____ pattern is a behavioral design pattern that allows objects to notify other objects about changes in their state. ,Null,Null,Null,Null,observer
Software Design Patterns,Short Answer,Easy,"In the Model-View-Controller design pattern, the ___ handles user input and updates the model and view. ",Null,Null,Null,Null,controller
Software Design Patterns,Short Answer,Medium,The _____ pattern is a structural design pattern that allows objects to be used interchangeably. ,Null,Null,Null,Null,adapter
Software Design Patterns,Short Answer,Medium,"The _____ pattern is a behavioral design pattern that allows multiple objects to handle a request, with the decision of which object to handle it being made at runtime. ",Null,Null,Null,Null,chain of responsibility
Software Design Patterns,Short Answer,Medium,The _____ is responsible for displaying the data to the user,Null,Null,Null,Null,view
Software Design Patterns,Short Answer,Hard,The _____ pattern is a behavioral design pattern that allows objects to separate their responsibilities and interactions with one another. ,Null,Null,Null,Null,mediator
Software Design Patterns,Short Answer,Hard,The _____ pattern is a behavioral design pattern that allows an object to change its behavior at runtime based on different states. ,Null,Null,Null,Null,state
Software Design Patterns,Short Answer,Hard,The _____ is responsible for updating the model when the view changes and updating the view when the model changes. ,Null,Null,Null,Null,controller
"History of Tacoma, UW, and UWT",Short Answer,Easy,The University of Washington Tacoma is located in the ___ area of Tacoma.,Null,Null,Null,Null,downtown
"History of Tacoma, UW, and UWT",Short Answer,Easy,The University of Washington mascot is a ___. ,Null,Null,Null,Null,husky
"History of Tacoma, UW, and UWT",Short Answer,Easy,The City of Tacoma is located in which county ___?,Null,Null,Null,Null,pierce
"History of Tacoma, UW, and UWT",Short Answer,Easy,The acronym for University of Washington Tacoma is ___. ,Null,Null,Null,Null,uwt
"History of Tacoma, UW, and UWT",Short Answer,Medium,The City of Tacoma is located in the ___ region of Washington. ,Null,Null,Null,Null,south puget sound
"History of Tacoma, UW, and UWT",Short Answer,Medium,The seat of Pierce County is the city of ___. ,Null,Null,Null,Null,tacoma
"History of Tacoma, UW, and UWT",Short Answer,Medium,The University of Washington football team plays its home games at _____ stadium.,Null,Null,Null,Null,husky
"History of Tacoma, UW, and UWT",Short Answer,Hard,The City of Tacoma is the ___ largest city in Washington. ,Null,Null,Null,Null,third
"History of Tacoma, UW, and UWT",Short Answer,Hard,The first branch campus of the University of Washington was in _____.,Null,Null,Null,Null,bothell
"History of Tacoma, UW, and UWT",Short Answer,Hard,"Tacoma derives from  _____, the native name of Mt. Rainier.",Null,Null,Null,Null,tahoma
General Computer Science,True or False,Easy,Computer science is not the study of the theory and application of computers. ,TRUE,FALSE,Null,Null,FALSE
General Computer Science,True or False,Easy,The first electronic computer was created in the 19th century,TRUE,FALSE,Null,Null,FALSE
General Computer Science,True or False,Medium,The Turing machine is a theoretical model of a general-purpose computer that can perform any calculation that is algorithmically solvable. ,TRUE,FALSE,Null,Null,TRUE
General Computer Science,True or False,Medium,The Von Neumann architecture is a design model for computers that separates the memory and processing units. ,TRUE,FALSE,Null,Null,TRUE
General Computer Science,True or False,Hard,"The P vs NP problem is a computational problem that asks whether every problem whose solution can be verified in polynomial time, can also be solved in polynomial time. ",TRUE,FALSE,Null,Null,TRUE
General Computer Science,True or False,Hard,"The Halting problem is a problem that asks whether, given a description of an arbitrary computer program, it is possible to decide whether the program finishes running or continues running forever. ",TRUE,FALSE,Null,Null,TRUE
Python3 Syntax,True or False,Easy,"In Python, a variable must be declared before it can be used. ",TRUE,FALSE,Null,Null,FALSE
Python3 Syntax,True or False,Easy,The print function in Python requires parentheses. ,TRUE,FALSE,Null,Null,TRUE
Python3 Syntax,True or False,Medium,"In Python, a variable declared with the ""global"" keyword can be accessed and modified inside a function. ",TRUE,FALSE,Null,Null,TRUE
Python3 Syntax,True or False,Medium,The range() function in Python includes the end value. ,TRUE,FALSE,Null,Null,FALSE
Python3 Syntax,True or False,Hard,The pass statement in Python can be used as a placeholder for a function or loop that is not yet implemented. ,TRUE,FALSE,Null,Null,TRUE
Python3 Syntax,True or False,Hard,The del keyword in Python cannot be used to delete a variable from memory. ,TRUE,FALSE,Null,Null,FALSE
Object-Oriented Programming,True or False,Easy,"In object-oriented programming, a class is a blueprint for creating objects. ",TRUE,FALSE,Null,Null,TRUE
Object-Oriented Programming,True or False,Easy,"The main advantage of object-oriented programming is small, concise programs. ",TRUE,FALSE,Null,Null,FALSE
Object-Oriented Programming,True or False,Medium,Polymorphism in object-oriented programming allows objects of different classes to be treated as objects of a common class. ,TRUE,FALSE,Null,Null,TRUE
Object-Oriented Programming,True or False,Medium,Inheritance in object-oriented programming allows a subclass to inherit the attributes and methods of its superclass. ,TRUE,FALSE,Null,Null,TRUE
Object-Oriented Programming,True or False,Hard,"In object-oriented programming, encapsulation is the ability of an object to display its internal state and behavior from the outside world. ",TRUE,FALSE,Null,Null,FALSE
Object-Oriented Programming,True or False,Hard,"In object-oriented programming, abstraction is the ability of an object to provide a simplified interface to its users. ",TRUE,FALSE,Null,Null,TRUE
"Algorithms and Big ""O""",True or False,Easy,Big O notation is used to measure the time complexity of an algorithm. ,TRUE,FALSE,Null,Null,TRUE
"Algorithms and Big ""O""",True or False,Easy,A quadratic time algorithm has a time complexity of O(n). ,TRUE,FALSE,Null,Null,FALSE
"Algorithms and Big ""O""",True or False,Medium,The best possible time complexity for an algorithm is O(n^2). ,TRUE,FALSE,Null,Null,FALSE
"Algorithms and Big ""O""",True or False,Medium,The best-case time complexity for an algorithm is represented by Big O notation.,TRUE,FALSE,Null,Null,FALSE
"Algorithms and Big ""O""",True or False,Hard,An algorithm's time complexity can be described by more than one Big O notation. ,TRUE,FALSE,Null,Null,TRUE
"Algorithms and Big ""O""",True or False,Hard,The average time complexity for an algorithm is represented by Big Theta notation. ,TRUE,FALSE,Null,Null,TRUE
Software Design Patterns,True or False,Easy,Design patterns are reusable solutions to common problems in software development. ,TRUE,FALSE,Null,Null,TRUE
Software Design Patterns,True or False,Easy,Design patterns are specific to a particular programming language. ,TRUE,FALSE,Null,Null,FALSE
Software Design Patterns,True or False,Easy,The Model-View-Controller design pattern is a way to separate the logic of an application into three interconnected components. ,TRUE,FALSE,Null,Null,TRUE
Software Design Patterns,True or False,Medium,Design patterns are a set of best practices for software development. ,TRUE,FALSE,Null,Null,TRUE
Software Design Patterns,True or False,Medium,Design patterns are only used for large-scale software development projects. ,TRUE,FALSE,Null,Null,FALSE
Software Design Patterns,True or False,Medium,The Model-View-Controller design pattern is used mainly in web development,TRUE,FALSE,Null,Null,FALSE
Software Design Patterns,True or False,Hard,Design patterns are a one-size-fits-all solution to software development problems. ,TRUE,FALSE,Null,Null,FALSE
Software Design Patterns,True or False,Hard,Design patterns are only used in object-oriented programming. ,TRUE,FALSE,Null,Null,FALSE
Software Design Patterns,True or False,Hard,"The Model-View-Controller design pattern is a way to separate the logic of an application into three interconnected components, with the Model being responsible for updating the View and the Controller. ",TRUE,FALSE,Null,Null,FALSE
"History of Tacoma, UW, and UWT",True or False,Easy,The University of Washington Tacoma was founded in the 1990s. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Easy,"The City of Tacoma is located in King County, Washington. ",TRUE,FALSE,Null,Null,FALSE
"History of Tacoma, UW, and UWT",True or False,Easy,The University of Washington Tacoma was founded in the 2000s. ,TRUE,FALSE,Null,Null,FALSE
"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma is located on Commencement Bay,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Medium,The University of Washington football team won the National Championships in 1991. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Hard,The City of Tacoma was officially incorporated in 1875. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington football team has won a Rose Bowl seven times. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was originally a logging town. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was named after the nearby Mount Rainier. ,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was named after the nearby Mount Tacoma. ,TRUE,FALSE,Null,Null,FALSE
"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington Tacoma's student body president is Jai'Shon Berry.,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington Tacoma's Chancellor is Dr. Sheila Edwards,TRUE,FALSE,Null,Null,TRUE
"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington football teamâ€™s Head Coach is Kalen DeBoer.,TRUE,FALSE,Null,Null,TRUE